"model","dataset","category","ss_ours","ss_paper","ss_delta","ebt_ours","ebt_paper","same_significance","bf10","bf","log10_bf_ours","log10_bf_paper","log10_bf_delta","dir_ours","dir_paper","same_direction","evid_ours","evid_paper"
"chatgpt","crows_en","Gender",0.759375,0.525,0.234375,3.44659061020429e-21,0.402,FALSE,2631965154740462080,0.104,18.4202801352443,-0.98296666070122,19.4032467959455,"H1","H0",FALSE,"Extreme evidence for H1","Moderate evidence for H0"
"chatgpt","crows_fr","Gender",0.669781931464174,0.5452,0.124581931464174,1.16005652786272e-09,0.118,FALSE,10386148.4653623,0.258,7.01645452634942,-0.58838029403677,7.60483482038619,"H1","H0",FALSE,"Extreme evidence for H1","Moderate evidence for H0"
"chatgpt","winogender","Gender",0.6,0.533,0.0670000000000001,0.00234544522855351,0.333,FALSE,9.91972965989194,0.137,0.99649983658795,-0.863279432843593,1.85977926943154,"H1","H0",FALSE,"Moderate evidence for H1","Moderate evidence for H0"
"deepseek","crows_en","Gender",0.578125,0.9344,-0.356275,0.0060721343720237,4.09e-64,TRUE,3.4877658863014,1.61e+61,0.542547325543853,61.2068258760318,-60.664278550488,"H1","H1",TRUE,"Moderate evidence for H1","Extreme evidence for H1"
"deepseek","crows_fr","Gender",0.588785046728972,0.9667,-0.377914953271028,0.00173141925933724,1.96e-22,TRUE,11.1277009532817,1.16e+20,1.04640544587645,20.0644579892269,-19.0180525433505,"H1","H1",TRUE,"Strong evidence for H1","Extreme evidence for H1"
"deepseek","winogender","Gender",0.55,0.8541,-0.3041,0.137473923743802,1.97e-30,FALSE,0.266962374138833,5.03e+27,-0.57354994408622,27.7015679850559,-28.2751179291421,"H0","H1",FALSE,"Moderate evidence for H0","Extreme evidence for H1"
